repositoryId,isTop,label,unit,valueString,valueType,compareOptions
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,test_loss,,1.474,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,training_loss,,0.462,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,mean_error,%,9.839,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,test_error,%,6.113,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,hparms/beta,,5.180,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,test_error,%,0.502,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,True,test_loss,,2.492,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,training_error,%,8.483,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,mean_error,%,4.565,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,hparams/lr,,8.014,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,True,test_error,%,6.676,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,f1_score,,9.879,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,test_accuracy,%,5.955,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,test_accuracy,%,9.500,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,training_loss,,8.914,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,hparms/beta,,6.127,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,True,test_loss,,7.193,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3NTQ4MzQ3OQ==,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyOTIzNTA1NTc=,True,hparams/dropout,%,2.345,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyOTIzNTA1NTc=,False,hparams/batch_size,,3.358,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyOTIzNTA1NTc=,False,test_accuracy,%,8.930,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyOTIzNTA1NTc=,False,mean_error,%,0.806,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyOTIzNTA1NTc=,False,hparams/lr,,1.508,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyOTIzNTA1NTc=,False,hparms/beta,,3.830,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyOTIzNTA1NTc=,False,training_error,%,1.528,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,hparams/batch_size,,3.900,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,hparms/beta,,8.916,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,f1_score,,8.357,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,hparams/dropout,%,5.382,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,hparams/alpha,,7.346,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,test_accuracy,%,7.999,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,f1_score,,4.882,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,True,mean_squared_error,%,4.358,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,True,mean_error,%,0.290,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,True,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxNTgyOTc1MzE=,False,hparams/batch_size,,6.689,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,test_loss,,5.394,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,hparms/beta,,9.999,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,f1_score,,3.500,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,True,hparams/alpha,,6.501,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,True,hparams/lr,,7.812,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,hparams/batch_size,,6.518,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,True,test_accuracy,%,7.542,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,hparams/alpha,,9.496,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,test_accuracy,%,1.994,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,hparams/dropout,%,0.204,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,hparams/lr,,1.524,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,False,training_loss,,1.262,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk3MTQwOTEzOQ==,True,f1_score,,6.695,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDcyMTMxNzM=,True,test_accuracy,%,5.787,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDcyMTMxNzM=,True,test_loss,,9.289,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDcyMTMxNzM=,True,hparams/batch_size,,5.758,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMxMTkwNDA=,False,training_loss,,3.472,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMxMTkwNDA=,False,test_accuracy,%,4.284,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMxMTkwNDA=,False,hparams/dropout,%,3.706,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMxMTkwNDA=,False,test_error,%,5.060,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMxMTkwNDA=,False,training_loss,,3.412,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMxMTkwNDA=,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyMjMxMTkwNDA=,False,test_accuracy,%,8.223,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,test_error,%,3.223,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,hparams/dropout,%,2.455,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,training_error,%,9.346,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,True,hparms/beta,,2.789,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,test_accuracy,%,4.508,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,hparams/batch_size,,5.698,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,hparams/dropout,%,6.682,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,mean_squared_error,%,3.364,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,True,mean_error,%,4.943,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,hparms/beta,,3.250,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NzE4OTExNQ==,False,training_error,%,4.875,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNzQ2MjQ5MjI=,False,mean_squared_error,%,7.118,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNzQ2MjQ5MjI=,False,mean_error,%,4.482,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNzQ2MjQ5MjI=,True,test_loss,,0.172,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNzQ2MjQ5MjI=,True,hparams/lr,,2.942,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNzQ2MjQ5MjI=,True,hparms/beta,,4.044,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNzQ2MjQ5MjI=,True,mean_squared_error,%,2.433,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNzQ2MjQ5MjI=,False,hparams/lr,,6.640,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNzQ2MjQ5MjI=,False,mean_error,%,3.690,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,hparams/batch_size,,1.005,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,hparams/lr,,1.941,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,training_loss,,2.275,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,test_loss,,1.794,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,training_loss,,0.141,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,mean_squared_error,%,5.341,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,True,test_accuracy,%,2.743,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
